municipality_code,year,population
10449,2005,23310
10449,2010,21345
10464,2000,37522
10464,2005,38168
10464,2010,37536
10521,2000,15946
10521,2005,15865
10521,2010,15706
10522,2000,11474
10522,2005,11326
10522,2010,11209
10523,2000,11602
10523,2005,11620
10523,2010,11473
10524,2000,41403
10524,2005,41466
10524,2010,40257
10525,2000,27512
10525,2005,27372
10525,2010,27023
11000,2000,6938006
11000,2005,7054243
11000,2010,7194556
11100,2005,1176314
11100,2010,1222434
11201,2000,330766
11201,2005,333795
11201,2010,342670
11202,2000,156216
11202,2005,191107
11202,2010,203180
11203,2000,460027
11203,2005,480079
11203,2010,500598
11206,2000,86308
11206,2005,84720
11206,2010,85786
11207,2000,59790
11207,2005,70563
11207,2010,66955
11208,2000,330100
11208,2005,336100
11208,2010,341924
11209,2000,83210
11209,2005,84860
11209,2010,83549
11210,2000,68445
11210,2005,67662
11210,2010,115002
11211,2000,61461
11211,2005,60807
11211,2010,81889
11212,2000,92929
11212,2005,91302
11212,2010,90099
11214,2000,203375
11214,2005,238506
11214,2010,237171
11215,2000,161460
11215,2005,158074
11215,2010,155727
11216,2000,57499
11216,2005,56693
11216,2010,56204
11217,2000,84100
11217,2005,119594
11217,2010,119639
11218,2000,103534
11218,2005,103529
11218,2010,144618
11219,2000,212947
11219,2005,220232
11219,2010,223926
11221,2000,225018
11221,2005,236316
11221,2010,243855
11222,2000,308307
11222,2005,315792
11222,2010,326313
11223,2000,71063
11223,2005,70010
11223,2010,71502
11224,2000,108039
11224,2005,116696
11224,2010,123079
11225,2000,147909
11225,2005,148576
11225,2010,149872
11227,2000,119712
11227,2005,124393
11227,2010,129691
11228,2000,65076
11228,2005,67448
11228,2010,69611
11229,2000,70170
11229,2005,76688
11229,2010,80745
11230,2000,149511
11230,2005,153305
11230,2010,158777
11231,2000,73967
11231,2005,73677
