municipality_code,financial_capability_index,real_debt_service_ratio_pct,taxable_income_per_capita_yen,homeownership_rate_pct,crime_rate_per_1000,doctors_per_100k,ssds_hospital_count,unemployment_rate_pct,tertiary_industry_pct,dwelling_area_sqm,day_night_pop_ratio,school_count,nursery_children,ssds_data_year,ssds_source_url
11324,1.06,10.5,3653080,79.7,14.86,242.0,5,3.7,69.5,87.09,114.3,8,316,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11326,0.61,8.6,2992182,63.2,16.8,1560.8,3,6.2,73.5,87.08,94.4,7,539,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11327,0.5,4.4,3017790,,18.13,54.4,0,4.5,67.3,,91.1,3,167,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11341,0.87,8.9,3386097,66.4,14.29,71.0,1,3.3,63.0,101.21,94.6,4,360,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11342,0.76,9.2,3025480,76.9,16.71,78.3,1,3.8,61.1,109.69,103.8,6,282,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11343,0.64,6.8,2897853,84.9,11.22,238.4,3,5.0,67.1,115.69,84.8,8,353,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11346,0.77,3.9,3021975,85.4,13.62,92.9,1,4.1,60.1,112.48,109.2,6,155,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11347,0.66,5.6,2940292,92.9,11.1,44.0,0,4.9,63.4,122.72,92.3,7,241,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11348,0.56,10.9,3023101,96.4,9.14,81.1,1,4.7,69.4,118.71,97.1,4,221,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11349,0.41,4.5,2890346,,10.82,47.4,0,3.8,59.8,,93.1,5,250,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11361,0.51,7.0,3015808,,8.52,37.6,0,3.8,63.5,,82.7,2,51,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11362,0.41,6.7,2827257,,9.03,139.8,2,4.5,62.3,,90.5,4,228,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11363,0.39,12.1,2972730,,6.76,88.1,0,3.4,62.0,,87.6,3,171,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11365,0.32,8.3,2886459,,2.75,137.3,1,3.5,55.0,,94.6,5,228,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11369,0.2,2.0,2572831,,8.86,0.0,0,3.6,56.6,,87.2,2,33,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11381,0.64,7.5,2972747,,8.88,27.2,0,4.7,56.2,,106.7,4,339,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
